,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,카테고리,기술스택
1108204,데이터 분석가(시니어),스포카,"['SQL', 'PostgreSQL', 'Python', 'Redash', 'Google BigQuery']",1,49,5,10,서울,강남구,70,2024-01-02 00:10:56.289484,빅데이터 엔지니어,SQL
1108206,Data Engineer(2년 이상),크레버스,"['SQL', 'NoSql', 'Kafka', 'Apache Spark', 'Hadoop', 'AWS', 'GCP', 'AZURE']",2,352,2,8,서울,강남구,70,2024-01-02 00:11:03.123549,빅데이터 엔지니어,SQL
1108207,데이터 엔지니어,페이히어,"['Python', 'SQL', 'Redash', 'Pandas', 'AWS', 'GCP', 'Spark', 'Airflow', 'Google BigQuery']",5,160,3,9,서울,강남구,70,2024-01-02 00:11:03.123549,빅데이터 엔지니어,SQL
1108211,Data Engineer,디플래닉스,"['AWS', 'GCP', 'AZURE', 'Python', 'SQL', 'Scala', 'Java']",13,365,3,8,서울,서초구,70,2024-01-02 00:11:05.408225,빅데이터 엔지니어,SQL
1108212,[Moloco] Senior Data Scientist,몰로코,"['Python', 'R', 'SQL', 'Pandas', 'MachineLearning']",6,245,3,20,서울,강남구,70,2024-01-02 00:11:07.614495,빅데이터 엔지니어,SQL
1108213,[Platform] Database Architect,앤서스랩코리아,"['SQL', 'MySQL', 'DB', 'C#', 'Java']",0,59,7,13,서울,강남구,70,2024-01-02 00:11:08.948495,빅데이터 엔지니어,SQL
1108214,Data Scientist,화해(버드뷰),"['Python', 'R', 'SQL']",2,153,5,15,서울,서초구,70,2024-01-02 00:11:19.154562,빅데이터 엔지니어,SQL
1108216,데이터분석가 (2년 이상),비모소프트,"['SQL', 'Tableau', 'BigData']",6,96,2,9,경기,안양시,70,2024-01-02 00:11:26.019346,빅데이터 엔지니어,SQL
1108217,기업분석 데이터 분석가,피데스어드바이저리,"['SQL', 'Python', 'Pandas']",4,154,2,9,서울,강남구,70,2024-01-02 00:11:26.019346,빅데이터 엔지니어,SQL
1108218,[그루비 SaaS 솔루션] 데이터 분석가,플래티어,"['SQL', 'Python']",6,157,2,6,서울,송파구,70,2024-01-02 00:11:27.138231,빅데이터 엔지니어,SQL
1108221,[아프리카TV] VOD 서비스 이용자 분석 및 서비스 개선,아프리카티비,"['SQL', 'R', 'Python']",1,259,5,10,경기,성남시,70,2024-01-02 00:11:30.577183,빅데이터 엔지니어,SQL
1108222,데이터 엔지니어(Data server Engineer)_Data Hub팀,휴맥스모빌리티,"['SQL', 'Python', 'Hadoop']",11,272,3,9,경기,성남시,70,2024-01-02 00:11:35.165443,빅데이터 엔지니어,SQL
1108223,[베스텔라랩] 빅데이터 엔지니어(경기/대구)(병특가능),베스텔라랩,"['Python', 'Spring Framework', 'AWS', 'React', 'Git', 'GitHub', 'Linux', 'PHP', 'R', 'SQL']",0,36,2,7,대구,동구,70,2024-01-02 00:11:38.499506,빅데이터 엔지니어,SQL
1108225,[토스] Financial System Engineer,비바리퍼블리카,"['MSSQL', 'MySQL', 'SQL', 'SAP', 'ERP', 'Oracle', 'MongoDB', 'PostgreSQL', 'Hadoop', 'Databricks']",8,791,5,10,서울,강남구,70,2024-01-02 00:11:39.676692,빅데이터 엔지니어,SQL
