,제목,회사명,refine_기술스택,스크랩수,조회수,최소경력,최대경력,주소(시도),주소(시군구),취업축하금,데이터수집일,URL,카테고리,기술스택
1031547,서비스 API 개발,놀이의발견,"['Git', 'Python', 'Django', 'FastAPI', 'MySQL', 'AWS', 'Kibana', 'Linux', 'Elasticsearch', 'Logstash', 'Docker']",48,1398,3,9,서울,마포구,70,2024-03-03 12:43:39.622083,https://www.jumpit.co.kr/position/19712,서버/백엔드 개발자,Docker
1031576,.NET Core C# 백엔드 개발자,클라우드호스피탈,"['MSSQL', 'PostgreSQL', 'Jira', 'GitHub', 'Docker', 'Kubernetes', 'Terraform', '.NET Core', 'AZURE', 'C#']",21,1485,0,10,서울,서초구,70,2024-03-03 12:43:46.533125,https://www.jumpit.co.kr/position/21820,서버/백엔드 개발자,Docker
1031582,"향수 브랜드 백오피스 및 서버, 자바 Spring REST API 백엔드 개발자 모집",하이데브,"['Java', 'Spring', 'Spring MVC', 'Spring Boot', 'Spring Batch', 'Hibernate', 'Docker', 'AWS']",11,1282,2,10,부산,부산진구,70,2024-03-03 12:43:47.731334,https://www.jumpit.co.kr/position/21540,서버/백엔드 개발자,Docker
1031584,"[(Java, Python) Back-End] 채용 모집",미니레코드,"['Python', 'Spring Framework', 'MariaDB', 'AWS', 'Docker', 'Redis', 'FastAPI', 'Java']",6,208,3,10,서울,송파구,70,2024-03-03 12:43:47.731334,https://www.jumpit.co.kr/position/22783,서버/백엔드 개발자,Docker
1031585,서버 및 네트워크 운영/관리 담당자,텐바이텐,"['Microsoft IIS', 'MSSQL', 'MySQL', 'Docker', 'vmware', 'Cisco', 'L2', 'L4', 'Ddos', 'Ccna', 'AZURE']",0,58,3,8,서울,종로구,70,2024-03-03 12:43:47.731334,https://www.jumpit.co.kr/position/23022,서버/백엔드 개발자,Docker
1031593,백엔드 소프트웨어 엔지니어,배러머신,"['Python', 'FastAPI', 'MongoDB', 'MySQL', 'Azure DevOps', 'Docker', 'Kubernetes', 'AZURE', 'Node.js', 'Golang']",4,207,3,5,서울,강남구,70,2024-03-03 12:43:50.028589,https://www.jumpit.co.kr/position/22627,서버/백엔드 개발자,Docker
1031595,솔루션 개발 경력자 채용,투씨드,"['Java', 'Linux', 'Python', 'GitLab', 'Docker', 'Kubernetes', 'AWS']",27,3216,3,15,서울,금천구,70,2024-03-03 12:43:50.028589,https://www.jumpit.co.kr/position/13522,서버/백엔드 개발자,Docker
1031613,"Staff, Back-end Engineer [Data & Accounting]",쿠팡(coupang),"['Java', 'Hive', 'Kotlin', 'C++', 'C#', 'Scala', 'Spring Framework', 'NoSql', 'Docker', 'K8S']",7,646,10,20,서울,강남구,70,2024-03-03 12:43:53.462489,https://www.jumpit.co.kr/position/21780,서버/백엔드 개발자,Docker
1031619,개발 리드,피어테크,"['Node.js', 'Python', 'Java', 'Linux', 'Docker', 'Go', 'Scala', 'C', 'Spark', 'Blockchain']",8,962,3,8,서울,강남구,70,2024-03-03 12:43:54.591267,https://www.jumpit.co.kr/position/7987,서버/백엔드 개발자,Docker
1031630,[IT] 백엔드 SW개발 (클라우드 플랫폼),덴티움,"['Node.js', 'NestJS', 'PostgreSQL', 'GraphQL', 'RDB', 'GitHub', 'Jira', 'Slack', 'Figma', 'Docker', 'NGINX']",24,735,3,7,경기,수원시,70,2024-03-03 12:43:56.904472,https://www.jumpit.co.kr/position/10750,서버/백엔드 개발자,Docker
1031631,백엔드 개발자,럭스로보,"['Docker', 'Kubernetes']",6,226,3,10,서울,서초구,70,2024-03-03 12:43:56.904472,https://www.jumpit.co.kr/position/21886,서버/백엔드 개발자,Docker
1031640,백엔드 엔지니어,피매치,"['Docker', 'GraphQL', 'PostgreSQL', 'AWS', 'AZURE', 'GCP']",23,780,2,5,서울,마포구,70,2024-03-03 12:43:59.179105,https://www.jumpit.co.kr/position/20852,서버/백엔드 개발자,Docker
